Rank,Título,Ano,Nota,Duração,Diretor
165,Chinatown,1974,"8,1",2h 10m,Roman Polanski
166,O Segredo dos Seus Olhos,2009,"8,2",2h 9m,Juan José Campanella
167,"Jogos, Trapaças e Dois Canos Fumegantes",1998,"8,1",1h 47m,Guy Ritchie
168,V de Vingança,2005,"8,1",2h 12m,James McTeigue
169,Divertida Mente,2015,"8,1",1h 35m,"Pete Docter, Ronnie Del Carmen"
170,Três Anúncios para um Crime,2017,"8,1",1h 55m,Martin McDonagh
171,A Ponte do Rio Kwai,1957,"8,1",2h 41m,David Lean
172,Trainspotting: Sem Limites,1996,"8,1",1h 33m,Danny Boyle
173,Prenda-Me se for Capaz,2002,"8,1",2h 21m,Steven Spielberg
174,Touro Indomável,1980,"8,1",2h 9m,Martin Scorsese
175,Robô Selvagem,2024,"8,2",1h 42m,Chris Sanders
176,Fargo: Uma Comédia de Erros,1996,"8,1",1h 38m,"Joel Coen, Ethan Coen"
177,Guerreiro,2011,"8,1",2h 20m,Gavin O'Connor
178,Harry Potter e as Relíquias da Morte - Parte 2,2011,"8,1",2h 10m,David Yates
179,Gran Torino,2008,"8,1",1h 56m,Clint Eastwood
180,Menina de Ouro,2004,"8,1",2h 12m,Clint Eastwood
181,Ben-Hur,1959,"8,1",3h 32m,William Wyler
182,Mad Max: Estrada da Fúria,2015,"8,1",2h,George Miller
183,Meu Amigo Totoro,1988,"8,1",1h 26m,Hayao Miyazaki
184,Homem-Aranha: Sem Volta para Casa,2021,"8,2",2h 28m,Jon Watts
185,Barry Lyndon,1975,"8,1",3h 5m,Stanley Kubrick
186,Sociedade dos Poetas Mortos,1989,"8,1",2h 8m,Peter Weir
187,Filhos do Paraíso,1997,"8,2",1h 29m,Majid Majidi
188,12 Anos de Escravidão,2013,"8,1",2h 14m,Steve McQueen
189,Antes do Amanhecer,1995,"8,1",1h 41m,Richard Linklater
190,O Grande Hotel Budapeste,2014,"8,1",1h 39m,Wes Anderson
191,Até o Último Homem,2016,"8,1",2h 19m,Mel Gibson
192,Blade Runner: O Caçador de Andróides,1982,"8,1",1h 57m,Ridley Scott
193,Garota Exemplar,2014,"8,1",2h 29m,David Fincher
194,Memórias de um Assassino,2003,"8,1",2h 11m,Bong Joon Ho
195,Ratatouille,2007,"8,1",1h 51m,"Brad Bird, Jan Pinkava"
196,Monstros S.A.,2001,"8,1",1h 32m,"Pete Docter, David Silverman, Lee Unkrich"
197,Em Nome do Pai,1993,"8,1",2h 13m,Jim Sheridan
198,Como Treinar o Seu Dragão,2010,"8,1",1h 38m,"Dean DeBlois, Chris Sanders"
199,Relatos Selvagens,2014,"8,1",2h 2m,Damián Szifron
200,Em Busca do Ouro,1925,"8,1",1h 35m,Charles Chaplin
201,Tubarão,1975,"8,1",2h 4m,Steven Spielberg
202,Bancando o Águia,1924,"8,2",45m,Buster Keaton
203,Mary e Max - Uma Amizade Diferente,2009,"8,1",1h 32m,Adam Elliot
204,O Franco Atirador,1978,"8,1",3h 3m,Michael Cimino
205,Ford vs. Ferrari,2019,"8,1",2h 32m,James Mangold
206,A General,1926,"8,1",1h 18m,"Clyde Bruckman, Buster Keaton"
207,O Salário do Medo,1953,"8,1",2h 36m,Henri-Georges Clouzot
208,A Mulher Faz o Homem,1939,"8,1",2h 9m,Frank Capra
209,Sindicato de Ladrões,1954,"8,1",1h 48m,Elia Kazan
210,Morangos Silvestres,1957,"8,1",1h 32m,Ingmar Bergman
211,Logan,2017,"8,1",2h 17m,James Mangold
212,"Rocky, um Lutador",1976,"8,1",2h,John G. Avildsen
213,O 3º Homem,1949,"8,1",1h 44m,Carol Reed
214,Era uma Vez em Tóquio,1953,"8,1",2h 17m,Yasujirô Ozu
215,Spotlight: Segredos Revelados,2015,"8,1",2h 9m,Tom McCarthy
216,Ainda Estou Aqui,2024,"8,3",2h 17m,Walter Salles
217,O Grande Lebowski,1998,"8,1",1h 57m,"Joel Coen, Ethan Coen"
218,O Exterminador do Futuro,1984,"8,1",1h 47m,James Cameron
219,O Mistério da Lixeira,2024,"8,4",2h 21m,Nithilan Saminathan
220,O Sétimo Selo,1957,"8,1",1h 36m,Ingmar Bergman
221,Piratas do Caribe: A Maldição do Pérola Negra,2003,"8,1",2h 23m,Gore Verbinski
222,O Quarto de Jack,2015,"8,1",1h 58m,Lenny Abrahamson
223,O Ódio,1995,"8,1",1h 38m,Mathieu Kassovitz
224,Jai Bhim,2021,"8,6",2h 44m,T.J. Gnanavel
225,Hotel Ruanda,2004,"8,1",2h 1m,Terry George
226,Platoon,1986,"8,1",2h,Oliver Stone
227,Os Melhores Anos de Nossa Vida,1946,"8,1",2h 50m,William Wyler
228,Antes do Pôr do Sol,2004,"8,1",1h 20m,Richard Linklater
229,O Exorcista,1973,"8,1",2h 2m,William Friedkin
230,O Martírio de Joana D'Arc,1928,"8,1",1h 50m,Carl Theodor Dreyer
231,A Noviça Rebelde,1965,"8,1",2h 52m,Robert Wise
232,O Mágico de Oz,1939,"8,1",1h 42m,"Victor Fleming, King Vidor"
233,Os Incríveis,2004,"8,0",1h 55m,Brad Bird
234,Sempre ao Seu Lado,2009,"8,1",1h 33m,Lasse Hallström
235,Rush: No Limite da Emoção,2013,"8,1",2h 3m,Ron Howard
236,Conta Comigo,1986,"8,1",1h 29m,Rob Reiner
237,Meu Pai e Meu Filho,2005,"8,2",1h 52m,Çagan Irmak
238,Rede de Intrigas,1976,"8,1",2h 1m,Sidney Lumet
239,O Gigante de Ferro,1999,"8,1",1h 26m,Brad Bird
240,A Criada,2016,"8,1",2h 25m,Park Chan-wook
241,Ser ou Não Ser,1942,"8,1",1h 39m,Ernst Lubitsch
242,A Voz do Silêncio,2016,"8,1",2h 10m,Naoko Yamada
243,A Batalha de Argel,1966,"8,1",2h 1m,Gillo Pontecorvo
244,As Vinhas da Ira,1940,"8,1",2h 9m,John Ford
245,Na Natureza Selvagem,2007,"8,0",2h 28m,Sean Penn
246,Feitiço do Tempo,1993,"8,0",1h 41m,Harold Ramis
247,Histórias Cruzadas,2011,"8,1",2h 26m,Tate Taylor
248,Amores Brutos,2000,"8,0",2h 34m,Alejandro G. Iñárritu
249,Gangues de Wasseypur,2012,"8,2",5h 21m,Anurag Kashyap
250,"Rebecca, a Mulher Inesquecível",1940,"8,1",2h 10m,Alfred Hitchcock
